t;h;season
285.550000;210000;winter
285.050000;210000;winter
284.450000;210000;winter
285.450000;210000;winter
284.950000;210000;winter
285.950000;000000;winter
284.550000;000000;winter
284.350000;000000;winter
284.950000;000000;winter
284.650000;000000;winter
284.850000;030000;winter
284.350000;030000;winter
284.150000;030000;winter
284.550000;030000;winter
284.250000;030000;winter
285.050000;060000;winter
283.550000;060000;winter
283.850000;060000;winter
284.350000;060000;winter
283.750000;060000;winter
285.350000;090000;winter
284.050000;090000;winter
283.750000;090000;winter
284.450000;090000;winter
283.550000;090000;winter
286.250000;120000;winter
285.550000;120000;winter
285.250000;120000;winter
286.150000;120000;winter
285.350000;120000;winter
285.650000;150000;winter
285.150000;150000;winter
284.550000;150000;winter
285.650000;150000;winter
285.350000;150000;winter
284.150000;180000;winter
283.750000;180000;winter
283.650000;180000;winter
284.650000;180000;winter
283.750000;180000;winter
284.150000;210000;winter
282.750000;210000;winter
282.550000;210000;winter
283.850000;210000;winter
283.150000;210000;winter
283.950000;000000;winter
282.250000;000000;winter
282.450000;000000;winter
282.950000;000000;winter
282.750000;000000;winter
283.650000;030000;winter
282.550000;030000;winter
282.050000;030000;winter
282.650000;030000;winter
281.750000;030000;winter
283.250000;060000;winter
282.250000;060000;winter
281.250000;060000;winter
282.750000;060000;winter
281.650000;060000;winter
283.050000;090000;winter
282.250000;090000;winter
281.350000;090000;winter
282.750000;090000;winter
281.750000;090000;winter
283.250000;120000;winter
282.750000;120000;winter
281.850000;120000;winter
283.950000;120000;winter
283.750000;120000;winter
282.750000;150000;winter
282.450000;150000;winter
283.150000;150000;winter
282.750000;150000;winter
283.050000;150000;winter
284.050000;180000;winter
283.150000;180000;winter
284.150000;180000;winter
283.550000;180000;winter
283.850000;180000;winter
284.150000;210000;winter
283.750000;210000;winter
284.450000;210000;winter
284.050000;210000;winter
283.750000;210000;winter
282.750000;000000;winter
281.050000;000000;winter
283.650000;000000;winter
283.850000;000000;winter
284.550000;000000;winter
280.550000;030000;winter
280.950000;030000;winter
282.450000;030000;winter
282.750000;030000;winter
284.450000;030000;winter
279.150000;060000;winter
279.750000;060000;winter
280.650000;060000;winter
281.450000;060000;winter
283.150000;060000;winter
278.250000;090000;winter
278.450000;090000;winter
279.550000;090000;winter
